Sample2,,denaturata 1M,,denaturata 2M,,denaturata 4M,,denaturata 3M,,denaturata 5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
Emission Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/15/2019 9:29:24 AM, Old: 600.00, New: 450.00
PMT Volts Changed: 4/15/2019 10:06:37 AM, Old:600, New:700
Emission PMT (V): Changed: 4/15/2019 10:06:37 AM, Old: 600, New: 700
PMT Volts Changed: 4/15/2019 10:07:42 AM, Old:700, New:750
Emission PMT (V): Changed: 4/15/2019 10:07:42 AM, Old: 700, New: 750
Sample2 Changed: 4/15/2019 10:16:26 AM, Old:Sample2, New:denaturata 1M
Sample2 Changed: 4/15/2019 10:23:38 AM, Old:denaturata 1M, New:denaturata 2M
End Method Modifications

denaturata 4M,
denaturata 4M
Collection Time: 4/15/2019 10:38:57 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   750
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : C:\Documents and Settings\tesisti\Desktop\LAB 2018-2019\gruppo 3\denaturazione 2M.FBSW
Date/Time stamp: 4/15/2019 10:24:43 AM
Method Modifications:
Overlayed Graphs Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
Cell Changer Changed: 4/15/2019 9:29:24 AM, Old:OFF, New:ON
