rodamina_526nm		rodamina_450nm		rodamina_480nm		rodamina_510nm		rodamina_530nm		rodamina_520nm		rodamina_510nm		rodamina_460nm	
Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)
616.9500122	119.395752	541.9400024	60.53741455	571.9400024	209.1963196	592.0499878	163.6560059	622.0499878	92.735466	612.0200195	136.1124725	602.0499878	156.6989899	551.9400024	133.2042389
617.9699707	113.1956711	542.9799805	65.77442169	572.9799805	204.0291595	592.9400024	158.9945221	622.9400024	89.35224915	613.039978	129.3660126	602.9400024	151.2269897	552.9799805	134.3599548
618.8400269	109.4204865	544.0200195	69.90129089	574.0200195	193.4970856	593.9699707	153.6708832	623.9699707	85.27973938	614.0499878	122.0206909	603.9699707	145.5540314	554.0200195	135.9595947
619.8499756	103.9488983	545.0700073	73.88344574	575.0700073	186.0130463	595	148.6544342	625	81.58608246	615.0700073	120.3248291	605	140.4322205	555.0700073	135.1200867
620.8800049	99.77801514	545.9699707	77.00872803	575.9699707	180.0783539	596.0200195	143.0573273	626.0200195	78.08602905	615.9400024	114.7609634	606.0200195	134.1423798	555.9699707	133.5973206
621.9099731	95.58573914	547.0100098	81.43925476	577.0100098	174.6575317	597.0499878	138.7740631	627.0499878	73.63892365	616.9500122	110.1471863	607.0499878	129.2181396	557.0100098	133.0878906
622.9400024	91.2611618	548.0499878	83.36792755	578.0499878	165.7440643	597.9400024	136.5703125	627.9400024	70.82301331	617.9699707	105.051796	607.9400024	125.5675735	558.0499878	130.1459045
623.9699707	86.74533844	548.9500122	85.43977356	578.9500122	161.8982086	598.9699707	130.6886749	628.9699707	67.71296692	618.9799805	99.86220551	608.9699707	120.9677353	558.9500122	128.6846313
624.8499756	84.14641571	550	88.51109314	580	153.9189911	600	126.1850433	630	65.04437256	620	96.52289581	610	116.4008484	560	125.7885513
625.8800049	79.56582642	551.039978	89.87846375	581.0200195	148.4214172	601.0200195	121.856041	631.0100098	61.71914291	621.0200195	90.83369446	611.0100098	111.7524414	561.0200195	123.5616684
