485 V,,510 V,,535 V,,560 V,,585 V,,610 V,,635 V,,660 V,,685 V,,700 V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
586.9099731,9.20810318,586.9099731,14.83845234,586.9099731,25.3138237,586.9099731,38.59495544,586.9099731,56.62322617,586.9099731,88.97509766,586.9099731,126.8272705,586.9099731,176.4776764,586.9099731,262.495575,586.9099731,321.6206665,
587.9400024,8.999407768,587.9400024,14.18381596,587.9400024,24.18820381,587.9400024,37.16202545,587.9400024,55.37805939,587.9400024,86.15116882,587.9400024,120.9220886,587.9400024,173.0292816,587.9400024,251.6335907,587.9400024,309.4967957,
588.9699707,8.771251678,588.9699707,13.62320042,588.9699707,23.53798676,588.9699707,35.50223923,588.9699707,53.73813248,588.9699707,83.57837677,588.9699707,118.132103,588.9699707,165.2547455,588.9699707,246.2608948,588.9699707,299.7081299,
589.8499756,8.209046364,589.8499756,13.44896984,589.8499756,22.89377403,589.8499756,35.06819916,589.8499756,52.00800705,589.8499756,80.48488617,589.8499756,114.3843307,589.8499756,162.2414093,589.8499756,236.7389832,589.8499756,290.6802368,
590.8800049,7.810641766,590.8800049,13.08028793,590.8800049,22.18190765,590.8800049,33.60471725,590.8800049,50.24728775,590.8800049,78.19046021,590.8800049,111.7485428,590.8800049,156.8151398,590.8800049,228.3682251,590.8800049,280.4106445,
591.9099731,7.632078648,591.9099731,12.71827602,591.9099731,21.63645935,591.9099731,32.66289139,591.9099731,48.03953171,591.9099731,75.42304993,591.9099731,107.2736969,591.9099731,150.9372101,591.9099731,223.2012939,591.9099731,270.6359863,
592.9400024,7.585035324,592.9400024,12.10001564,592.9400024,20.73898506,592.9400024,31.44703865,592.9400024,47.40594101,592.9400024,73.63661957,592.9400024,103.8506927,592.9400024,146.2026367,592.9400024,214.703537,592.9400024,262.333374,
593.9699707,7.165820599,593.9699707,11.89484882,593.9699707,20.26914787,593.9699707,30.69520569,593.9699707,45.66993713,593.9699707,70.21671295,593.9699707,99.91876984,593.9699707,141.2915039,593.9699707,209.6078644,593.9699707,251.7726135,
594.8499756,6.975243568,594.8499756,11.58332348,594.8499756,19.64775276,594.8499756,29.61517334,594.8499756,44.57759094,594.8499756,68.82556152,594.8499756,97.83963013,594.8499756,137.6505127,594.8499756,203.7822113,594.8499756,246.9282074,
595.8800049,6.963171482,595.8800049,11.24752808,595.8800049,18.78439331,595.8800049,29.22688866,595.8800049,43.42591476,595.8800049,66.34622955,595.8800049,94.54756165,595.8800049,132.4963379,595.8800049,195.898941,595.8800049,237.8432007,
